variant,family,seed,outcome,return_total,utility_score,min_distance,clearance_score,time_efficiency_score,path_efficiency_score
injected,nominal,11,success,27.838138651715298,0.6617253008106051,0.7430563134471289,0.6340076526631865,0.9992863731693636,0.983958982273501
injected,nominal,17,success,27.86306366430084,0.6620711483976557,0.7460458334464644,0.6376313132684416,0.9994208851444858,0.9836592855636286
injected,nominal,23,success,27.835772765498763,0.6600718873053968,0.7318382943992141,0.6204100538172292,0.996990041304836,0.9833187779319029
injected,nominal,31,success,27.8215034455899,0.6611853364608908,0.7391752176110806,0.6293032940740371,0.9991108951647303,0.9834391753701404
injected,nominal,47,success,27.840745760053057,0.6605419574021776,0.7344799763033762,0.6236120924889409,0.9988073161106299,0.9830001654222038
injected,nominal,59,success,27.83288053924698,0.6602984120974557,0.7311192276611056,0.6195384577710371,0.9995855998662635,0.9838600633372555
injected,nominal,71,success,27.853346071504735,0.6627617373562684,0.7525106426892307,0.645467445683916,0.998448396917151,0.9837015309616176
injected,nominal,83,success,27.840070853842395,0.6618639776087126,0.7439263464892889,0.635062238168835,0.9999035000794286,0.9836740378388623
injected,nominal,97,success,27.851235168581294,0.6629083856720126,0.7525202152153483,0.6454790487458767,0.9995598449024624,0.9840449630717868
injected,nominal,101,success,27.87015325932357,0.6626340617999344,0.7503365775798123,0.6428322152482573,0.9996774698870308,0.9838309328640558
injected,nominal,113,success,27.847105100021768,0.661710545816919,0.7427241462074861,0.6336050257060437,0.9994617776176391,0.9840386548455066
injected,nominal,127,success,24.42746464387431,0.6512956987469483,0.6535466519013986,0.5255110932138165,0.9994644909995519,0.9879814032561136
injected,shifted,11,success,29.00375740229081,0.5971898561611361,-0.2916256743410298,0.0,0.9986513614670786,0.9732472001442811
injected,shifted,17,success,29.007322160491313,0.597273014475866,-0.26400465910368875,0.0,0.9986179794802917,0.9741121652783685
injected,shifted,23,success,28.99515652174713,0.5972724534386563,-0.2776847717939085,0.0,0.9987453109768947,0.9739792234096687
injected,shifted,31,success,29.01005034315376,0.5972724926552013,-0.262140541762962,0.0,0.998746709483785,0.9739782170682287
injected,shifted,47,timeout,23.52311344093487,-0.03521105269315708,-0.0681894893704845,0.0,0.29299569998645025,0.8548937730819788
injected,shifted,59,timeout,23.47103542118701,-0.03512439940653159,-0.09632929447851488,0.0,0.2936812973700146,0.8550747085646695
injected,shifted,71,timeout,23.51965152684754,-0.0350246132647805,-0.06605554744271211,0.0,0.29432794719345146,0.8554259201587434
injected,shifted,83,timeout,23.495209006556276,-0.0350493154851996,-0.07563441262777201,0.0,0.295260253068931,0.8542465920790728
injected,shifted,97,timeout,23.544104012324848,-0.035695552168540784,-0.05321142744456617,0.0,0.29184650071628015,0.851197977598312
injected,shifted,101,collision,24.829722269366144,-0.09324379104304173,-0.46749572902989256,0.0,0.7995502284382564,0.768011861131326
injected,shifted,113,collision,24.8362105040609,-0.0935936995349586,-0.45828861287191514,0.0,0.797857502254757,0.7662055023956569
injected,shifted,127,collision,24.88301190404002,-0.09358312526869844,-0.4571074818473445,0.0,0.7964759161946992,0.7676928311183162
