variant,family,seed,outcome,return_total,utility_score,min_distance,clearance_score,time_efficiency_score,path_efficiency_score
clean,nominal,11,success,27.838138651715298,0.6617253008106051,0.7430563134471289,0.6340076526631865,0.9992863731693636,0.983958982273501
clean,nominal,17,success,27.86306366430084,0.6620711483976557,0.7460458334464644,0.6376313132684416,0.9994208851444858,0.9836592855636286
clean,nominal,23,success,27.835772765498763,0.6600718873053968,0.7318382943992141,0.6204100538172292,0.996990041304836,0.9833187779319029
clean,nominal,31,success,27.8215034455899,0.6611853364608908,0.7391752176110806,0.6293032940740371,0.9991108951647303,0.9834391753701404
clean,nominal,47,success,27.840745760053057,0.6605419574021776,0.7344799763033762,0.6236120924889409,0.9988073161106299,0.9830001654222038
clean,nominal,59,success,27.83288053924698,0.6602984120974557,0.7311192276611056,0.6195384577710371,0.9995855998662635,0.9838600633372555
clean,nominal,71,success,27.853346071504735,0.6627617373562684,0.7525106426892307,0.645467445683916,0.998448396917151,0.9837015309616176
clean,nominal,83,success,27.840070853842395,0.6618639776087126,0.7439263464892889,0.635062238168835,0.9999035000794286,0.9836740378388623
clean,nominal,97,success,27.851235168581294,0.6629083856720126,0.7525202152153483,0.6454790487458767,0.9995598449024624,0.9840449630717868
clean,nominal,101,success,27.87015325932357,0.6626340617999344,0.7503365775798123,0.6428322152482573,0.9996774698870308,0.9838309328640558
clean,nominal,113,success,29.08805659321777,0.6819054628866424,0.9143825551648306,0.8416758244422189,0.9972504876675721,0.980128316756633
clean,nominal,127,success,29.077626604966042,0.6814170209563086,0.9128889848716633,0.8398654362080766,0.9945831686050954,0.979721604749914
clean,shifted,11,success,22.62866412090446,0.6128251559021496,0.36177515500445856,0.17184867273267704,0.9970846622410866,0.9593182240477315
clean,shifted,17,success,22.659541766460038,0.6133868666888018,0.366778723391884,0.17791360411137452,0.9956293741063648,0.9603256886702786
clean,shifted,23,success,22.66649283843135,0.6131250786334658,0.365624564422381,0.17651462354227998,0.9957549449470172,0.9589812178453601
clean,shifted,31,success,22.65892108723704,0.610525576157631,0.3449773998803829,0.15148775743076714,0.9939018198129149,0.9598661843326287
clean,shifted,47,success,22.63193806303572,0.6104645390086678,0.345670739744248,0.15232816938696725,0.9931890971950121,0.9591281235046986
clean,shifted,59,success,22.639085152025142,0.6140179302488625,0.37207000395919443,0.18432727752629627,0.9964911815359706,0.9593608434263585
clean,shifted,71,success,22.63913853188547,0.6119265916214539,0.3552976215680921,0.1639971170522328,0.9963271119427838,0.9589416872195223
clean,shifted,83,success,22.66302424526443,0.6118463056097853,0.3534548352430711,0.16176343665826798,0.9965263767604308,0.9601732426791533
clean,shifted,97,success,15.327272155169002,0.5956749899874916,0.00024879501049668296,0.0,0.9963073010322531,0.9604425988426623
clean,shifted,101,success,15.378959368282452,0.5953440229465611,0.016273691038957705,0.0,0.9948181690349863,0.9586220604306235
clean,shifted,113,timeout,10.343673794233608,-0.03194647242542566,-0.1418293602458831,0.0,0.31681408746687967,0.8637211882788637
clean,shifted,127,timeout,10.368374290578497,-0.032456155417425664,-0.13154455860381487,0.0,0.31321264899384815,0.862225796831895
injected,nominal,11,success,27.838138651715298,0.6617253008106051,0.7430563134471289,0.6340076526631865,0.9992863731693636,0.983958982273501
injected,nominal,17,success,27.86306366430084,0.6620711483976557,0.7460458334464644,0.6376313132684416,0.9994208851444858,0.9836592855636286
injected,nominal,23,success,27.835772765498763,0.6600718873053968,0.7318382943992141,0.6204100538172292,0.996990041304836,0.9833187779319029
injected,nominal,31,success,27.8215034455899,0.6611853364608908,0.7391752176110806,0.6293032940740371,0.9991108951647303,0.9834391753701404
injected,nominal,47,success,27.840745760053057,0.6605419574021776,0.7344799763033762,0.6236120924889409,0.9988073161106299,0.9830001654222038
injected,nominal,59,success,27.83288053924698,0.6602984120974557,0.7311192276611056,0.6195384577710371,0.9995855998662635,0.9838600633372555
injected,nominal,71,success,27.853346071504735,0.6627617373562684,0.7525106426892307,0.645467445683916,0.998448396917151,0.9837015309616176
injected,nominal,83,success,27.840070853842395,0.6618639776087126,0.7439263464892889,0.635062238168835,0.9999035000794286,0.9836740378388623
injected,nominal,97,success,27.851235168581294,0.6629083856720126,0.7525202152153483,0.6454790487458767,0.9995598449024624,0.9840449630717868
injected,nominal,101,success,27.87015325932357,0.6626340617999344,0.7503365775798123,0.6428322152482573,0.9996774698870308,0.9838309328640558
injected,nominal,113,success,27.847105100021768,0.661710545816919,0.7427241462074861,0.6336050257060437,0.9994617776176391,0.9840386548455066
injected,nominal,127,success,24.42746464387431,0.6512956987469483,0.6535466519013986,0.5255110932138165,0.9994644909995519,0.9879814032561136
injected,shifted,11,success,29.00375740229081,0.5971898561611361,-0.2916256743410298,0.0,0.9986513614670786,0.9732472001442811
injected,shifted,17,success,29.007322160491313,0.597273014475866,-0.26400465910368875,0.0,0.9986179794802917,0.9741121652783685
injected,shifted,23,success,28.99515652174713,0.5972724534386563,-0.2776847717939085,0.0,0.9987453109768947,0.9739792234096687
injected,shifted,31,success,29.01005034315376,0.5972724926552013,-0.262140541762962,0.0,0.998746709483785,0.9739782170682287
injected,shifted,47,timeout,23.52311344093487,-0.03521105269315708,-0.0681894893704845,0.0,0.29299569998645025,0.8548937730819788
injected,shifted,59,timeout,23.47103542118701,-0.03512439940653159,-0.09632929447851488,0.0,0.2936812973700146,0.8550747085646695
injected,shifted,71,timeout,23.51965152684754,-0.0350246132647805,-0.06605554744271211,0.0,0.29432794719345146,0.8554259201587434
injected,shifted,83,timeout,23.495209006556276,-0.0350493154851996,-0.07563441262777201,0.0,0.295260253068931,0.8542465920790728
injected,shifted,97,timeout,23.544104012324848,-0.035695552168540784,-0.05321142744456617,0.0,0.29184650071628015,0.851197977598312
injected,shifted,101,collision,24.829722269366144,-0.09324379104304173,-0.46749572902989256,0.0,0.7995502284382564,0.768011861131326
injected,shifted,113,collision,24.8362105040609,-0.0935936995349586,-0.45828861287191514,0.0,0.797857502254757,0.7662055023956569
injected,shifted,127,collision,24.88301190404002,-0.09358312526869844,-0.4571074818473445,0.0,0.7964759161946992,0.7676928311183162
repaired,nominal,11,success,28.299414796154704,0.6633943942218067,0.7569401569736045,0.6508365539073994,0.9990361374141142,0.9840712508965532
repaired,nominal,17,success,28.284087098380272,0.6626878446865745,0.751073517783436,0.6437254761011345,0.9990297060980505,0.9841232646665593
repaired,nominal,23,success,28.28575571126747,0.6628070610707766,0.7522623579499119,0.6451664944847417,0.9991412796938577,0.9837628365291661
repaired,nominal,31,success,28.286137815436742,0.6627184184746912,0.7515796808791557,0.6443390071262494,0.9987338454239686,0.9841113321966936
repaired,nominal,47,success,28.299092275116667,0.664840543977174,0.7681870419886168,0.6644691418043839,0.9998159125746096,0.9841203853927459
repaired,nominal,59,success,28.27961137359643,0.6624193904669124,0.7488651508673994,0.6410486677180598,0.999088481436842,0.9840567555142221
repaired,nominal,71,success,28.282781643565116,0.6626017679237582,0.7504274529682022,0.6429423672341845,0.9995255623167233,0.983549749686674
repaired,nominal,83,success,28.28645008549217,0.6643931028631115,0.7653148773029685,0.6609877300642043,0.9989907662948464,0.9839525322720646
repaired,nominal,97,success,28.289657427849228,0.6652697893038697,0.772618196032504,0.6698402376151564,0.9989677614213673,0.9838898940021729
repaired,nominal,101,success,28.287863358497173,0.6636193844003505,0.7584579689311046,0.6526763259770965,0.9997073386573295,0.9838101793690787
repaired,nominal,113,success,28.274256326033257,0.6632239883951031,0.755296736001402,0.6488445284865478,0.9993257139347287,0.9840696415297541
repaired,nominal,127,success,28.281630736388323,0.6640800879826322,0.7630033850751698,0.6581859213032362,0.9990744256869911,0.9835405328360943
repaired,shifted,11,success,30.83234623946289,0.6305180471400614,0.5088785621384241,0.3501558328950595,0.9958013803225207,0.9592232581830338
repaired,shifted,17,success,30.832516574637108,0.6313541599127791,0.5173111270633265,0.360377123713123,0.9932600407906077,0.9599044346240599
repaired,shifted,23,success,30.86583857382062,0.6296998726447005,0.5007740889187967,0.3403322289924809,0.9969109408268274,0.9597555566276954
repaired,shifted,31,success,30.84172046874233,0.6298431267856607,0.5024904011833292,0.3424126074949445,0.995864352778187,0.9601543075834751
repaired,shifted,47,success,30.838369412300004,0.6319251066173002,0.5199174768364775,0.36353633555936665,0.9952478310104342,0.9604668996032008
repaired,shifted,59,success,30.83755573604597,0.6289811954161456,0.5005506863579053,0.3400614380095822,0.9906587257899401,0.9590917903619335
repaired,shifted,71,success,30.824918603669072,0.6312907731384193,0.517316827481639,0.36038403331107755,0.9931114871734085,0.959412210899707
repaired,shifted,83,success,30.85595650500644,0.6302397781372353,0.5060153768535686,0.3466853052770528,0.9959971518081545,0.959715324287145
repaired,shifted,97,success,23.495000570409847,0.5952567350726535,0.11143803374086142,0.0,0.9934104382021473,0.9591569125243877
repaired,shifted,101,success,23.512855340008606,0.5951407470073795,0.11340466623277573,0.0,0.9917822602839335,0.9596252097898617
repaired,shifted,113,timeout,17.262084094673785,0.009754240242914422,-0.015522971820007725,0.0,0.6771776444489817,0.9203647579801624
repaired,shifted,127,timeout,17.36369753261761,0.009856845214331306,-0.012282557030812824,0.0,0.678128532484055,0.9204399196592579
