variant,W_CR,W_EC,W_ER,train_shifted_episode_rate,nominal_success_rate,shifted_success_rate,nominal_average_return,shifted_average_return,nominal_U_task_v1_mean,shifted_U_task_v1_mean,reward_retention_under_shift,utility_retention_under_shift,reward_utility_decoupling_gap,nominal_vs_shifted_success_gap,nominal_vs_shifted_min_distance_gap,shifted_min_distance
clean,0.0,0.4333333333333334,0.43470448887439966,0.3333333333333333,1.0,0.8333333333333334,28.05104944815339,19.38375711779227,0.6649487240628383,0.5020612024135016,0.6910171811439415,0.7550374701765069,-0.0640202890325654,0.16666666666666663,0.8729485879069887,-0.1418293602458831
injected,0.0,0.4333333333333334,0.57412215311759,0.0,1.0,0.3333333333333333,27.560123326962742,25.67652870941672,0.6607557041229147,0.1610401889888293,0.9316550729762788,0.24372122402271743,0.6879338489535614,0.6666666666666667,1.121042380931291,-0.46749572902989256
repaired,0.0,0.4333333333333334,0.3678858055843942,0.4166666666666667,1.0,0.8333333333333334,28.286394887314795,27.36357163761619,0.6635046478138967,0.5211550522774651,0.9673757206114502,0.7854580280553534,0.1819176925560968,0.16666666666666663,0.7643881226874071,-0.015522971820007725
