variant,family,seed,outcome,return_total,utility_score,min_distance,clearance_score,time_efficiency_score,path_efficiency_score
repaired,nominal,11,success,28.299414796154704,0.6633943942218067,0.7569401569736045,0.6508365539073994,0.9990361374141142,0.9840712508965532
repaired,nominal,17,success,28.284087098380272,0.6626878446865745,0.751073517783436,0.6437254761011345,0.9990297060980505,0.9841232646665593
repaired,nominal,23,success,28.28575571126747,0.6628070610707766,0.7522623579499119,0.6451664944847417,0.9991412796938577,0.9837628365291661
repaired,nominal,31,success,28.286137815436742,0.6627184184746912,0.7515796808791557,0.6443390071262494,0.9987338454239686,0.9841113321966936
repaired,nominal,47,success,28.299092275116667,0.664840543977174,0.7681870419886168,0.6644691418043839,0.9998159125746096,0.9841203853927459
repaired,nominal,59,success,28.27961137359643,0.6624193904669124,0.7488651508673994,0.6410486677180598,0.999088481436842,0.9840567555142221
repaired,nominal,71,success,28.282781643565116,0.6626017679237582,0.7504274529682022,0.6429423672341845,0.9995255623167233,0.983549749686674
repaired,nominal,83,success,28.28645008549217,0.6643931028631115,0.7653148773029685,0.6609877300642043,0.9989907662948464,0.9839525322720646
repaired,nominal,97,success,28.289657427849228,0.6652697893038697,0.772618196032504,0.6698402376151564,0.9989677614213673,0.9838898940021729
repaired,nominal,101,success,28.287863358497173,0.6636193844003505,0.7584579689311046,0.6526763259770965,0.9997073386573295,0.9838101793690787
repaired,nominal,113,success,28.274256326033257,0.6632239883951031,0.755296736001402,0.6488445284865478,0.9993257139347287,0.9840696415297541
repaired,nominal,127,success,28.281630736388323,0.6640800879826322,0.7630033850751698,0.6581859213032362,0.9990744256869911,0.9835405328360943
repaired,shifted,11,success,30.83234623946289,0.6305180471400614,0.5088785621384241,0.3501558328950595,0.9958013803225207,0.9592232581830338
repaired,shifted,17,success,30.832516574637108,0.6313541599127791,0.5173111270633265,0.360377123713123,0.9932600407906077,0.9599044346240599
repaired,shifted,23,success,30.86583857382062,0.6296998726447005,0.5007740889187967,0.3403322289924809,0.9969109408268274,0.9597555566276954
repaired,shifted,31,success,30.84172046874233,0.6298431267856607,0.5024904011833292,0.3424126074949445,0.995864352778187,0.9601543075834751
repaired,shifted,47,success,30.838369412300004,0.6319251066173002,0.5199174768364775,0.36353633555936665,0.9952478310104342,0.9604668996032008
repaired,shifted,59,success,30.83755573604597,0.6289811954161456,0.5005506863579053,0.3400614380095822,0.9906587257899401,0.9590917903619335
repaired,shifted,71,success,30.824918603669072,0.6312907731384193,0.517316827481639,0.36038403331107755,0.9931114871734085,0.959412210899707
repaired,shifted,83,success,30.85595650500644,0.6302397781372353,0.5060153768535686,0.3466853052770528,0.9959971518081545,0.959715324287145
repaired,shifted,97,success,23.495000570409847,0.5952567350726535,0.11143803374086142,0.0,0.9934104382021473,0.9591569125243877
repaired,shifted,101,success,23.512855340008606,0.5951407470073795,0.11340466623277573,0.0,0.9917822602839335,0.9596252097898617
repaired,shifted,113,timeout,17.262084094673785,0.009754240242914422,-0.015522971820007725,0.0,0.6771776444489817,0.9203647579801624
repaired,shifted,127,timeout,17.36369753261761,0.009856845214331306,-0.012282557030812824,0.0,0.678128532484055,0.9204399196592579
